Source,Target,LinkType,LinkText
"docs/00-Strategy/Business/20251116-Strategy-Doc-Creation-Log.md","docs/00-Strategy/Business/docs/strategy_and_ip/README.md","explicit_link","docs/strategy_and_ip/README.md"
"docs/00-Strategy/Business/20251116-Strategy-Doc-Creation-Log.md","docs/00-Strategy/Business/docs/strategy_and_ip/01_CORE_IP_DEFINITION.md","explicit_link","docs/strategy_and_ip/01_CORE_IP_DEFINITION.md"
"docs/00-Strategy/Business/20251116-Strategy-Doc-Creation-Log.md","docs/00-Strategy/Business/docs/strategy_and_ip/02_LEGAL_CHECKLIST.md","explicit_link","docs/strategy_and_ip/02_LEGAL_CHECKLIST.md"
"docs/00-Strategy/Business/20251116-Strategy-Doc-Creation-Log.md","docs/00-Strategy/Business/docs/strategy_and_ip/03_INVESTOR_PITCH.md","explicit_link","docs/strategy_and_ip/03_INVESTOR_PITCH.md"
"docs/00-Strategy/Business/20251116-Strategy-Doc-Creation-Log.md","docs/00-Strategy/Business/logs/ip_and_business/20251116-IP-and-Business-Strategy-for-Contextual Debt.md","explicit_link","logs/ip_and_business/20251116-IP-and-Business-Strategy-for-Contextual Debt.md"
"docs/00-Strategy/Business/20251116-Strategy-Doc-Creation-Log.md","docs/00-Strategy/Business/docs/strategy_and_ip/04_PHASE_1_CLIENTS.md","explicit_link","docs/strategy_and_ip/04_PHASE_1_CLIENTS.md"
"docs/00-Strategy/Business/20251118-Strategic-Pivot-Plan-CIS-Formalization.md","docs/00-Strategy/Business/logs/technical/20251113_RECOVERY_PLAN.md","explicit_link","logs/technical/20251113_RECOVERY_PLAN.md"
"docs/00-Strategy/Business/20251118-Strategic-Pivot-Plan-CIS-Formalization.md","docs/00-Strategy/Business/docs/strategy_and_ip/DOC-REVISIONS/20251118-proposed-Section-2.2.md","explicit_link","docs/strategy_and_ip/DOC-REVISIONS/20251118-proposed-Section-2.2.md"
"docs/00-Strategy/Business/20251118-Strategic-Pivot-Plan-CIS-Formalization.md","docs/00-Strategy/Business/logs/technical/20251113_RECOVERY_PLAN.md","explicit_link","logs/technical/20251113_RECOVERY_PLAN.md"
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","docs/00-Strategy/Competition/PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md"
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","docs/00-Strategy/Competition/PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md"
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","docs/00-Strategy/Competition/PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md"
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","docs/00-Strategy/Competition/PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md"
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","docs/00-Strategy/Competition/PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md"
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","docs/00-Strategy/Competition/README.md","explicit_link","README.md"
"docs/00-Strategy/Competition/20251113_GAP_ANALYSIS_REPORT.md","docs/00-Strategy/Competition/PROJECT_PLAN.md","explicit_link","PROJECT_PLAN.md"
"docs/00-Strategy/Competition/20251116-Competition Analysis For Project Success.md","docs/00-Strategy/Competition/README.md","explicit_link","README.md"
"docs/00-Strategy/IP/02_LEGAL_CHECKLIST.md","docs/00-Strategy/IP/logs/research/20251115-Research_Paper-Contextual_Debt-A_Software_Liability.md","explicit_link","logs/research/20251115-Research_Paper-Contextual_Debt-A_Software_Liability.md"
"docs/00-Strategy/IP/20251119-Gap-Analysis-Critique-vs-IP-Assets.md","docs/00-Strategy/IP/logs/ip_and_business/20251118-Strategic-Pivot-Plan-CIS-Formalization.md","explicit_link","logs/ip_and_business/20251118-Strategic-Pivot-Plan-CIS-Formalization.md"
"docs/00-Strategy/IP/20251119-Transformation-Map.md","docs/00-Strategy/IP/docs/strategy_and_ip/DOC-REVISIONS/20251118-proposed-Section-2.2.md","explicit_link","docs/strategy_and_ip/DOC-REVISIONS/20251118-proposed-Section-2.2.md"
"docs/00-Strategy/IP/20251119-Transformation-Map.md","docs/00-Strategy/IP/docs/strategy_and_ip/20251118-Copyright-Edition-Contextual-Debt-Paper.md","explicit_link","docs/strategy_and_ip/20251118-Copyright-Edition-Contextual-Debt-Paper.md"
"docs/00-Strategy/IP/20251119-Transformation-Map.md","docs/00-Strategy/IP/docs/strategy_and_ip/DOC-REVISIONS/20251119-proposed-Section-2.3.md","explicit_link","docs/strategy_and_ip/DOC-REVISIONS/20251119-proposed-Section-2.3.md"
"docs/00-Strategy/IP/20251119-Transformation-Map.md","docs/00-Strategy/IP/docs/strategy_and_ip/20251118-Copyright-Edition-Contextual-Debt-Paper.md","explicit_link","docs/strategy_and_ip/20251118-Copyright-Edition-Contextual-Debt-Paper.md"
"docs/00-Strategy/IP/20251119-Transformation-Map.md","docs/00-Strategy/IP/docs/strategy_and_ip/20251118-Copyright-Edition-Contextual-Debt-Paper.md","explicit_link","docs/strategy_and_ip/20251118-Copyright-Edition-Contextual-Debt-Paper.md"
"docs/00-Strategy/IP/README_dup.md","docs/00-Strategy/IP/logs/ip_and_business/20251116-IP-and-Business-Strategy-for-Contextual Debt.md","explicit_link","logs/ip_and_business/20251116-IP-and-Business-Strategy-for-Contextual Debt.md"
"docs/00-Strategy/IP/REGISTRATION_MANIFEST.md","docs/00-Strategy/IP/docs/strategy_and_ip/20251118-Copyright-Edition-Contextual-Debt-Paper.md","explicit_link","docs/strategy_and_ip/20251118-Copyright-Edition-Contextual-Debt-Paper.md"
"docs/00-Strategy/IP/REGISTRATION_MANIFEST.md","docs/00-Strategy/IP/docs/strategy_and_ip/01_CORE_IP_DEFINITION.md","explicit_link","docs/strategy_and_ip/01_CORE_IP_DEFINITION.md"
"docs/00-Strategy/IP/REGISTRATION_MANIFEST.md","docs/00-Strategy/IP/docs/strategy_and_ip/03_INVESTOR_PITCH.md","explicit_link","docs/strategy_and_ip/03_INVESTOR_PITCH.md"
"docs/02-Engineering/Setup/Data-Scientist-Gap-Analysis.md","tools/README.md","explicit_link","README.md"
"docs/02-Engineering/Setup/Data-Scientist-Gap-Analysis.md","tools/README.md","explicit_link","README.md"
